timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
196000,0.0,0.0,0.0
396000,0.0,0.0,0.0
592000,0.0,0.0,0.0
788000,0.0,0.0,0.0
984000,0.0,0.0,0.0
1180000,0.0,0.0,0.0
1380000,0.0,0.0,0.0
1576000,0.0,0.0,0.0
1776000,0.0,0.0,0.0
1976000,0.0,0.0,0.0
2176000,0.0,0.0,0.0
2376000,0.0,0.0,0.0
2572000,0.0,0.0,0.0
2768000,0.0,0.0,0.0
2968000,0.0,0.0,0.0
3164000,0.0,0.0,0.0
3360000,0.0,0.0,0.0
3560000,0.0,0.0,0.0
3760000,0.0,0.0,0.0
3956000,0.0,0.0,0.0
4152000,0.0,0.0,0.0
4348000,0.0,0.0,0.0
4548000,0.0,0.0,0.0
4744000,0.0,0.0,0.0
4944000,0.0,0.0,0.0
5144000,0.0,0.0,0.0
5344000,0.0,0.0,0.0
5544000,0.0,0.0,0.0
5740000,0.0,0.0,0.0
5940000,0.0,0.0,0.0
6140000,0.0,0.0,0.0
6340000,0.0,0.0,0.0
6536000,0.0,0.0,0.0
6736000,0.0,0.0,0.0
6936000,0.0,0.0,0.0
7136000,0.0,0.0,0.0
7332000,0.0,0.0,0.0
7528000,0.0,0.0,0.0
7728000,0.0,0.0,0.0
7928000,0.0,0.0,0.0
8124000,0.0,0.0,0.0
8320000,0.0,0.0,0.0
8516000,0.0,0.0,0.0
8716000,0.0,0.0,0.0
8916000,0.0,0.0,0.0
9116000,0.0,0.0,0.0
9312000,0.0,0.0,0.0
9508000,0.0,0.0,0.0
9708000,0.0,0.0,0.0
9904000,0.0,0.0,0.0
10100000,0.0,0.0,0.0
10300000,0.0,0.0,0.0
10496000,0.0,0.0,0.0
10696000,0.0,0.0,0.0
10892000,0.0,0.0,0.0
11092000,0.0,0.0,0.0
11288000,0.0,0.0,0.0
11488000,0.0,0.0,0.0
11688000,0.0,0.0,0.0
11888000,0.0,0.0,0.0
12088000,0.0,0.0,0.0
12284000,0.0,0.0,0.0
12484000,0.0,0.0,0.0
12684000,0.0,0.0,0.0
12884000,0.0,0.0,0.0
13084000,0.0,0.0,0.0
13284000,0.0,0.0,0.0
13480000,0.0,0.0,0.0
13680000,0.0,0.0,0.0
13876000,0.0,0.0,0.0
14076000,0.0,0.0,0.0
14276000,0.0,0.0,0.0
14476000,0.0,0.0,0.0
14676000,0.0,0.0,0.0
14872000,0.0,0.0,0.0
15072000,0.0,0.0,0.0
15272000,0.0,0.0,0.0
15472000,0.0,0.0,0.0
15668000,0.0,0.0,0.0
15864000,0.0,0.0,0.0
16064000,0.0,0.0,0.0
16264000,0.0,0.0,0.0
16464000,0.0,0.0,0.0
16660000,0.0,0.0,0.0
16860000,0.0,0.0,0.0
17060000,0.0,0.0,0.0
17260000,0.0,0.0,0.0
17460000,0.0,0.0,0.0
17660000,0.0,0.0,0.0
17860000,0.0,0.0,0.0
18056000,0.0,0.0,0.0
18256000,0.0,0.0,0.0
18456000,0.0,0.0,0.0
18652000,0.0,0.0,0.0
18852000,0.0,0.0,0.0
19052000,0.0,0.0,0.0
19252000,0.0,0.0,0.0
19452000,0.0,0.0,0.0
19652000,0.0,0.0,0.0
19848000,0.0,0.0,0.0
20048000,0.0,0.0,0.0
20248000,0.0,0.0,0.0
20444000,0.0,0.0,0.0
20644000,0.0,0.0,0.0
20844000,0.0,0.0,0.0
21044000,0.0,0.0,0.0
21240000,0.0,0.0,0.0
21440000,0.0,0.0,0.0
21636000,0.0,0.0,0.0
21836000,0.0,0.0,0.0
22036000,0.0,0.0,0.0
22232000,0.0,0.0,0.0
22432000,0.0,0.0,0.0
22628000,0.0,0.0,0.0
22828000,0.0,0.0,0.0
23028000,0.0,0.0,0.0
23228000,0.0,0.0,0.0
23428000,0.0,0.0,0.0
23624000,0.0,0.0,0.0
23824000,0.0,0.0,0.0
24020000,0.0,0.0,0.0
24216000,0.0,0.0,0.0
24416000,0.0,0.0,0.0
24616000,0.0,0.0,0.0
24816000,0.0,0.0,0.0
25016000,0.0,0.0,0.0
25216000,0.0,0.0,0.0
25412000,0.0,0.0,0.0
25612000,0.0,0.0,0.0
25812000,0.0,0.0,0.0
26012000,0.0,0.0,0.0
26212000,0.0,0.0,0.0
26412000,0.0,0.0,0.0
26612000,0.0,0.0,0.0
26808000,0.0,0.0,0.0
27008000,0.0,0.0,0.0
27208000,0.0,0.0,0.0
27408000,0.0,0.0,0.0
27608000,0.0,0.0,0.0
27808000,0.0,0.0,0.0
28004000,0.0,0.0,0.0
28200000,0.0,0.0,0.0
28396000,0.0,0.0,0.0
28596000,0.0,0.0,0.0
28796000,0.0,0.0,0.0
28996000,0.0,0.0,0.0
29196000,0.0,0.0,0.0
29392000,0.0,0.0,0.0
29592000,0.0,0.0,0.0
29792000,0.0,0.0,0.0
29992000,0.0,0.0,0.0
30188000,0.0,0.0,0.0
30388000,0.0,0.0,0.0
30584000,0.0,0.0,0.0
30780000,0.0,0.0,0.0
30976000,0.0,0.0,0.0
31176000,0.0,0.0,0.0
31372000,0.0,0.0,0.0
31572000,0.0,0.0,0.0
31772000,0.0,0.0,0.0
31972000,0.0,0.0,0.0
32172000,0.0,0.0,0.0
32372000,0.0,0.0,0.0
32572000,0.0,0.0,0.0
32772000,0.0,0.0,0.0
32968000,0.0,0.0,0.0
33168000,0.0,0.0,0.0
33364000,0.0,0.0,0.0
33564000,0.0,0.0,0.0
33760000,0.0,0.0,0.0
33960000,0.0,0.0,0.0
34160000,0.0,0.0,0.0
34356000,0.0,0.0,0.0
34556000,0.0,0.0,0.0
34756000,0.0,0.0,0.0
34848000,0.0,0.0,0.0
616048000,0.0,0.0,0.0
616248000,0.0,0.0,0.0
616448000,0.0,0.0,0.0
616648000,0.0,0.0,0.0
616844000,0.0,0.0,0.0
617044000,0.0,0.0,0.0
